Rk,Player,Tm,FGP,Opp,W-or-L,MP,FG,FGA,FG_PERCENT,threeP,3PA,THREE_PERCENT,FT,FTA,FT_PERCENT,AST,TOV,PF,PTS,Usage,GmSc,FPM
1,Giannis Antetokounmpo,MIL,,DEN,W,30:24,14,19,.737,0,0,,8,14,.571,5,2,2,36,+18,38.0,antetgi01
2,Victor Wembanyama,SAS,@,TOR,W,28:59,10,14,.714,2,4,.500,5,6,.833,5,7,2,27,+20,30.5,wembavi01
3,Donovan Mitchell,CLE,,PHI,L,37:22,9,20,.450,4,9,.444,14,17,.824,6,3,2,36,+10,29.4,mitchdo01
4,Luka Dončić,DAL,,WAS,W,37:17,8,16,.500,2,7,.286,8,11,.727,15,5,3,26,+19,27.2,doncilu01
5,Stephen Curry,GSW,@,UTA,W,32:05,9,19,.474,7,16,.438,0,0,,10,1,1,25,+30,26.4,curryst01
6,Ayo Dosunmu,CHI,@,ATL,W,38:32,12,18,.667,5,7,.714,0,1,.000,7,2,2,29,+13,25.2,dosunay01
7,Bogdan Bogdanović,ATL,,CHI,L,26:53,11,16,.688,6,10,.600,0,0,,4,1,1,28,-2,24.6,bogdabo01
8,Devin Vassell,SAS,@,TOR,W,27:23,9,15,.600,5,7,.714,2,2,1.000,6,0,1,25,+17,24.2,vassede01
9,DeMar DeRozan,CHI,@,ATL,W,38:25,10,17,.588,0,2,.000,9,11,.818,5,1,1,29,+13,23.3,derozde01
10,Daniel Gafford,DAL,,WAS,W,24:07,7,13,.538,0,0,,2,3,.667,2,2,0,16,-6,22.1,gaffoda01
11,Kelly Oubre,PHI,@,CLE,W,41:02,10,14,.714,2,3,.667,2,2,1.000,1,0,2,24,+7,22.1,oubreke01
12,Buddy Hield,PHI,@,CLE,W,35:33,9,13,.692,5,8,.625,1,1,1.000,8,3,6,24,-2,20.9,hieldbu01
13,Nikola Jokić,DEN,@,MIL,L,31:31,13,25,.520,2,5,.400,1,3,.333,8,5,1,29,-16,20.9,jokicni01
14,Darius Garland,CLE,,PHI,L,30:39,9,16,.563,3,8,.375,0,0,,9,0,0,21,-8,20.7,garlada01
15,Miles Bridges,CHO,,IND,W,38:37,9,17,.529,1,6,.167,1,1,1.000,7,2,0,20,+1,20.6,bridgmi02
16,Anthony Edwards,MIN,@,LAC,W,32:24,8,18,.444,1,11,.091,6,6,1.000,8,1,2,23,+18,20.5,edwaran01
17,Nikola Vučević,CHI,@,ATL,W,34:06,8,16,.500,1,2,.500,7,9,.778,2,0,3,24,+3,20.5,vucevni01
18,Myles Turner,IND,@,CHO,L,31:26,8,13,.615,1,5,.200,5,5,1.000,1,1,1,22,+6,20.3,turnemy01
19,Karl-Anthony Towns,MIN,@,LAC,W,27:02,8,12,.667,1,5,.200,7,8,.875,3,1,3,24,+17,20.2,townska01
20,Klay Thompson,GSW,@,UTA,W,29:55,11,19,.579,3,7,.429,1,1,1.000,2,1,0,26,+1,19.7,thompkl01
21,Kyrie Irving,DAL,,WAS,W,42:54,10,19,.526,2,7,.286,4,6,.667,4,2,3,26,+3,19.4,irvinky01
